,Accession,Location,Collection Date
0,EU545988,Micronesia,15/6/2007
1,JN860885,Cambodia,1/6/2010
2,KF268948,Central African Republic,1/6/1976
3,KF270886,Gabon,1/6/2007
4,KF270887,Gabon,1/6/2007
5,KF383022,Senegal,1/6/1997
6,KF383029,Senegal,1/6/2002
7,KF383031,Senegal,1/6/1969
8,KF383034,Senegal,1/6/1979
9,KF383036,Cote d'Ivoire,1/6/1999
10,KF383037,Cote d'Ivoire,1/6/1996
11,KF383038,Cote d'Ivoire,1/6/1999
12,KF383039,Senegal,1/6/1991
13,KF383045,Cote d'Ivoire,1/6/1990
14,KF383046,Cote d'Ivoire,1/6/1999
15,KF383085,Senegal,1/6/1969
16,KF383086,Cote d'Ivoire,1/6/1999
17,KF383106,Cote d'Ivoire,1/6/1990
18,KF383114,Senegal,1/6/1979
19,KF993678,Canada,19/2/2013
20,KJ634273,Cook Islands,1/6/2014
21,KJ776791,French Polynesia,28/11/2013
22,KJ873160,New Caledonia,3/4/2014
23,KJ873161,New Caledonia,2/4/2014
24,KM078930,Chile Easter Island,4/4/2014
25,KM078971,Chile Easter Island,21/4/2014
26,KM851038,Philippines,9/5/2012
27,KR872956,Brazil,1/6/2015
28,KU179098,Indonesia Jambi,30/12/2014
29,KU312312,Suriname,2/10/2015
30,KU321639,Brazil,15/3/2015
31,KU365777,Brazil,1/6/2015
32,KU365778,Brazil,1/6/2015
33,KU365779,Brazil,1/6/2015
34,KU365780,Brazil,1/6/2015
35,KU497555,Brazil,30/11/2015
36,KU501215,Puerto Rico,1/12/2015
37,KU509998,Haiti,12/12/2014
38,KU527068,Brazil Rio Grande do Norte Natal,1/6/2015
39,KU647676,Martinique,15/12/2015
40,KU681081,Thailand,19/7/2014
41,KU681082,Philippines,9/5/2012
42,KU707826,Brazil,1/7/2015
43,KU729217,Brazil,1/6/2015
44,KU729218,Brazil,1/6/2015
45,KU744693,China,6/2/2016
46,KU758877,French Guiana,15/12/2015
47,KU761560,China,15/2/2016
48,KU761561,China,15/2/2016
49,KU761564,China,12/2/2016
50,KU820897,Colombia Barranquilla,15/12/2015
51,KU820899,China,17/2/2016
52,KU853013,Italy Padua,1/2/2016
53,KU870645,USA,2/2/2016
54,KU922923,Mexico Chiapas,25/2/2016
55,KU922960,Mexico Chiapas,25/2/2016
56,KU926309,Brazil,14/1/2016
57,KU926310,Brazil,29/1/2016
58,KU937936,Suriname,11/2/2016
59,KU940224,Brazil,1/8/2015
60,KU940228,Brazil,1/7/2015
61,KU955589,China,16/2/2016
62,KU955591,Senegal,20/11/1984
63,KU963574,Nigeria Ibadan,9/9/1968
64,KU963796,China Shenzhen,1/6/2016
65,KU991811,Italy Rome,6/3/2016
66,KU997667,China,16/2/2016
67,KX013000,China,17/2/2016
68,KX051560,Thailand,9/7/2013
69,KX051561,Thailand,21/9/2013
70,KX051562,Thailand,16/1/2015
71,KX051563,USA,5/2/2016
72,KX087101,Puerto Rico,15/12/2015
73,KX087102,Colombia Barranquilla,15/12/2015
74,KX117076,China,17/2/2016
75,KX156774,Panama,18/12/2015
76,KX156775,Panama,11/12/2015
77,KX156776,Panama,18/12/2015
78,KX197192,Brazil,1/6/2015
79,KX198135,Panama,1/6/2016
80,KX216632,Solomon Islands,1/6/2015
81,KX216634,Tonga,1/6/2016
82,KX216636,Samoa,1/6/2016
83,KX216639,Samoa,1/6/2016
84,KX216640,Cook Islands,1/6/2014
85,KX247632,Mexico,15/11/2015
86,KX247646,Colombia,9/2/2016
87,KX253996,China,16/2/2016
88,KX262887,Honduras,6/1/2016
89,KX266255,China,14/2/2016
90,KX280026,Brazil,1/6/2015
91,KX369547,French Polynesia,25/10/2013
92,KX377336,Malaysia,15/7/1966
93,KX380263,Fiji,1/6/2016
94,KX421194,Nicaragua,13/1/2016
95,KX421195,Nicaragua,19/1/2016
96,KX446950,Mexico Chiapas,1/1/2016
97,KX446951,Mexico Chiapas,1/1/2016
98,KX447509,French Polynesia,15/12/2013
99,KX447510,French Polynesia,15/12/2013
100,KX447511,French Polynesia,15/1/2014
101,KX447512,French Polynesia,15/12/2013
102,KX447513,French Polynesia,15/12/2013
103,KX447514,French Polynesia,15/1/2014
104,KX447515,French Polynesia,15/11/2013
105,KX447516,French Polynesia,15/1/2014
106,KX447517,French Polynesia,15/1/2014
107,KX447518,French Polynesia,15/12/2013
108,KX520666,Brazil Salvadore Bahia,15/8/2015
109,KX548902,Colombia,7/10/2015
110,KX601168,Puerto Rico,1/12/2015
111,KX601169,Uganda Entebbe,20/4/1947
112,KX673530,United Kingdom,21/4/2016
113,KX694532,Thailand,12/2/2013
114,KX694534,Honduras,6/1/2015
115,KX702400,Venezuela Barquisimeto,25/3/2016
116,KX766028,Dominican Republic,6/6/2016
117,KX766029,Mexico,23/6/2016
118,KX806557,Australia,15/2/2016
119,KX811222,Brazil Fortaleza,14/6/2016
120,KX813683,Singapore,27/8/2016
121,KX827268,USA,1/1/2016
122,KX827309,Singapore,28/8/2016
123,KX830930,Brazil,1/3/2016
124,KX832731,USA Miami Florida,24/8/2016
125,KX838904,USA Miami Florida,22/8/2016
